      742	2025-08-22 13:09:01	15	0	1	0
      754	2025-08-22 13:09:54	15	0	1	0
      745	2025-08-22 13:09:57	15	0	1	0
      743	2025-08-22 13:10:02	15	0	1	0
      746	2025-08-22 13:10:07	15	0	1	0
      738	2025-08-22 13:10:11	15	0	1	0
      737	2025-08-22 13:10:26	15	0	1	0
      740	2025-08-22 13:10:35	15	0	1	0
      719	2025-08-22 13:10:40	15	0	1	0
      729	2025-08-22 13:10:48	15	0	1	0
      749	2025-08-22 13:12:12	15	0	1	0
      723	2025-08-22 13:12:48	15	0	1	0
      739	2025-08-22 13:13:03	15	0	1	0
      735	2025-08-22 13:14:10	15	0	1	0
      735	2025-08-22 13:14:15	15	0	1	0
      751	2025-08-22 13:20:07	15	0	1	0
      720	2025-08-22 13:24:51	15	0	1	0
      747	2025-08-22 13:24:58	15	0	1	0
      732	2025-08-22 13:25:57	15	0	1	0
      731	2025-08-22 13:48:45	15	0	1	0
      734	2025-08-22 14:56:00	15	0	1	0
      686	2025-08-25 07:26:51	15	0	1	0
      620	2025-08-25 07:27:20	15	0	1	0
      715	2025-08-25 07:27:25	15	0	1	0
      669	2025-08-25 07:27:30	15	0	1	0
      670	2025-08-25 07:27:35	15	0	1	0
      702	2025-08-25 07:27:40	15	0	1	0
      704	2025-08-25 07:27:43	15	0	1	0
      696	2025-08-25 07:27:48	15	0	1	0
      697	2025-08-25 07:27:51	15	0	1	0
      650	2025-08-25 07:27:57	15	0	1	0
      680	2025-08-25 07:28:03	15	0	1	0
      695	2025-08-25 07:28:06	15	0	1	0
      633	2025-08-25 07:28:12	15	0	1	0
      628	2025-08-25 07:28:15	15	0	1	0
      629	2025-08-25 07:28:20	15	0	1	0
      616	2025-08-25 07:28:24	15	0	1	0
      714	2025-08-25 07:28:28	15	0	1	0
      657	2025-08-25 07:28:32	15	0	1	0
      687	2025-08-25 07:29:03	15	0	1	0
      617	2025-08-25 07:29:29	15	0	1	0
      660	2025-08-25 07:30:09	15	0	1	0
      679	2025-08-25 07:30:14	15	0	1	0
      662	2025-08-25 07:30:46	15	0	1	0
      645	2025-08-25 07:30:54	15	0	1	0
      644	2025-08-25 07:30:57	15	0	1	0
      710	2025-08-25 07:31:00	15	0	1	0
      688	2025-08-25 07:31:30	15	0	1	0
      649	2025-08-25 07:31:49	15	0	1	0
      661	2025-08-25 07:31:52	15	0	1	0
      692	2025-08-25 07:32:02	15	0	1	0
      658	2025-08-25 07:32:26	15	0	1	0
      636	2025-08-25 07:32:31	15	0	1	0
      642	2025-08-25 07:32:35	15	0	1	0
      630	2025-08-25 07:32:39	15	0	1	0
      671	2025-08-25 07:33:09	15	0	1	0
      674	2025-08-25 07:33:53	15	0	1	0
      641	2025-08-25 07:34:55	15	0	1	0
      640	2025-08-25 07:34:58	15	0	1	0
      678	2025-08-25 07:35:09	15	0	1	0
      675	2025-08-25 07:35:20	15	0	1	0
      615	2025-08-25 07:35:31	15	0	1	0
      647	2025-08-25 07:35:48	15	0	1	0
      626	2025-08-25 07:35:53	15	0	1	0
      684	2025-08-25 07:36:06	15	0	1	0
      637	2025-08-25 07:36:11	15	0	1	0
      619	2025-08-25 07:36:24	15	0	1	0
      648	2025-08-25 07:36:32	15	0	1	0
      703	2025-08-25 07:39:55	15	0	1	0
      621	2025-08-25 07:40:00	15	0	1	0
      646	2025-08-25 07:40:21	15	0	1	0
      654	2025-08-25 07:41:35	15	0	1	0
      691	2025-08-25 07:45:08	15	0	1	0
      716	2025-08-25 07:50:52	15	0	1	0
      700	2025-08-25 07:53:14	15	0	1	0
      699	2025-08-25 07:53:44	15	0	1	0
      693	2025-08-25 08:33:12	15	0	1	0
      713	2025-08-25 08:34:01	15	0	1	0
      732	2025-08-25 13:02:20	15	0	1	0
      729	2025-08-25 13:02:45	15	0	1	0
      754	2025-08-25 13:03:30	15	0	1	0
      719	2025-08-25 13:04:46	15	0	1	0
      745	2025-08-25 13:06:10	15	0	1	0
      723	2025-08-25 13:10:00	15	0	1	0
      720	2025-08-25 13:10:58	15	0	1	0
      740	2025-08-25 13:12:52	15	0	1	0
      743	2025-08-25 13:13:00	15	0	1	0
      747	2025-08-25 13:13:09	15	0	1	0
      752	2025-08-25 13:14:24	15	0	1	0
      727	2025-08-25 13:16:46	15	0	1	0
      721	2025-08-25 13:17:47	15	0	1	0
      724	2025-08-25 13:17:52	15	0	1	0
      737	2025-08-25 13:18:47	15	0	1	0
      750	2025-08-25 13:19:32	15	0	1	0
      739	2025-08-25 13:23:45	15	0	1	0
      744	2025-08-25 13:31:35	15	0	1	0
      749	2025-08-25 13:34:29	15	0	1	0
      738	2025-08-25 13:34:33	15	0	1	0
      746	2025-08-25 13:34:36	15	0	1	0
